year_ceremony,Category,name,film
2010,BEST PICTURE,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker
2010,SHORT FILM (Animated),Nicolas Schmerkin,Logorama
2010,SHORT FILM (Live Action),Joachim Back and Tivi Magnusson,The New Tenants
2010,SOUND EDITING,Paul N.J. Ottosson,The Hurt Locker
2010,SOUND MIXING,Paul N.J. Ottosson and Ray Beckett,The Hurt Locker
2010,VISUAL EFFECTS,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",Avatar
2010,WRITING (Adapted Screenplay),Screenplay by Geoffrey Fletcher,Precious: Based on the Novel 'Push' by Sapphire
2010,WRITING (Original Screenplay),Written by Mark Boal,The Hurt Locker
2010,HONORARY AWARD, Lauren Bacall in recognition of her central place in the golden age of motion pictures.,
2010,HONORARY AWARD, Roger Corman for his rich engendering of films and filmmakers.,
2010,HONORARY AWARD, Gordon Willis for unsurpassed mastery of light,
2010,IRVING G. THALBERG MEMORIAL AWARD,John Calley,
2011,ANIMATED FEATURE FILM,Lee Unkrich,Toy Story 3
2011,PRODUCTION DESIGN,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,Alice in Wonderland
2011,CINEMATOGRAPHY,Wally Pfister,Inception
2011,COSTUME DESIGN,Colleen Atwood,Alice in Wonderland
2011,DIRECTING,Tom Hooper,The King's Speech
2011,DOCUMENTARY (Feature),Charles Ferguson and Audrey Marrs,Inside Job
2011,DOCUMENTARY (Short Subject),Karen Goodman and Kirk Simon,Strangers No More
2011,FILM EDITING,Angus Wall and Kirk Baxter,The Social Network
2011,FOREIGN LANGUAGE FILM,Denmark,In a Better World
2011,MAKEUP,Rick Baker and Dave Elsey,The Wolfman
2011,MUSIC (Original Score),Trent Reznor and Atticus Ross,The Social Network
2011,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story 3
2011,BEST PICTURE,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech
2011,SHORT FILM (Animated),Shaun Tan and Andrew Ruhemann,The Lost Thing
2011,SHORT FILM (Live Action),Luke Matheny,God of Love
2011,SOUND EDITING,Richard King,Inception
2011,SOUND MIXING,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",Inception
2011,VISUAL EFFECTS,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",Inception
2011,WRITING (Adapted Screenplay),Screenplay by Aaron Sorkin,The Social Network
2011,WRITING (Original Screenplay),Screenplay by David Seidler,The King's Speech
2011,HONORARY AWARD, Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,
2011,HONORARY AWARD, Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,
2011,HONORARY AWARD, Eli Wallach for a lifetime's worth of indelible screen characters.,
2011,IRVING G. THALBERG MEMORIAL AWARD,Francis Ford Coppola,
2012,ANIMATED FEATURE FILM,Gore Verbinski,Rango
2012,PRODUCTION DESIGN,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Hugo
2012,CINEMATOGRAPHY,Robert Richardson,Hugo
2012,COSTUME DESIGN,Mark Bridges,The Artist
2012,DIRECTING,Michel Hazanavicius,The Artist
2012,DOCUMENTARY (Feature),"TJ Martin, Dan Lindsay and Rich Middlemas",Undefeated
2012,DOCUMENTARY (Short Subject),Daniel Junge and Sharmeen Obaid-Chinoy,Saving Face
2012,FILM EDITING,Kirk Baxter and Angus Wall,The Girl with the Dragon Tattoo
2012,FOREIGN LANGUAGE FILM,Iran,A Separation
2012,MAKEUP,Mark Coulier and J. Roy Helland,The Iron Lady
2012,MUSIC (Original Score),Ludovic Bource,The Artist
2012,MUSIC (Original Song),Music and Lyric by Bret McKenzie,The Muppets
2012,BEST PICTURE,"Thomas Langmann, Producer",The Artist
2012,SHORT FILM (Animated),William Joyce and Brandon Oldenburg,The Fantastic Flying Books of Mr. Morris Lessmore
2012,SHORT FILM (Live Action),Terry George and Oorlagh George,The Shore
2012,SOUND EDITING,Philip Stockton and Eugene Gearty,Hugo
2012,SOUND MIXING,Tom Fleischman and John Midgley,Hugo
2012,VISUAL EFFECTS,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",Hugo
2012,WRITING (Adapted Screenplay),Screenplay by Alexander Payne and Nat Faxon & Jim Rash,The Descendants
2012,WRITING (Original Screenplay),Written by Woody Allen,Midnight in Paris
2012,JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey,
2012,HONORARY AWARD, James Earl Jones for his legacy of consistent excellence and uncommon versatility.,
2012,HONORARY AWARD, Dick Smith for his unparalleled mastery of texture,
2013,ANIMATED FEATURE FILM,Mark Andrews and Brenda Chapman,Brave
2013,CINEMATOGRAPHY,Claudio Miranda,Life of Pi
2013,COSTUME DESIGN,Jacqueline Durran,Anna Karenina
2013,DIRECTING,Ang Lee,Life of Pi
2013,DOCUMENTARY (Feature),Malik Bendjelloul and Simon Chinn,Searching for Sugar Man
2013,DOCUMENTARY (Short Subject),Sean Fine and Andrea Nix Fine,Inocente
2013,FILM EDITING,William Goldenberg,Argo
2013,FOREIGN LANGUAGE FILM,Austria,Amour
2013,MAKEUP AND HAIRSTYLING,Lisa Westcott and Julie Dartnell,Les Misérables
2013,MUSIC (Original Score),Mychael Danna,Life of Pi
2013,MUSIC (Original Song),Music and Lyric by Adele Adkins and Paul Epworth,Skyfall
2013,BEST PICTURE,"Grant Heslov, Ben Affleck and George Clooney, Producers",Argo
2013,PRODUCTION DESIGN,Production Design: Rick Carter; Set Decoration: Jim Erickson,Lincoln
2013,SHORT FILM (Animated),John Kahrs,Paperman
2013,SHORT FILM (Live Action),Shawn Christensen,Curfew
2013,SOUND EDITING,Per Hallberg and Karen Baker Landers,Skyfall
2013,SOUND EDITING,Paul N.J. Ottosson,Zero Dark Thirty
2013,SOUND MIXING,"Andy Nelson, Mark Paterson and Simon Hayes",Les Misérables
2013,VISUAL EFFECTS,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",Life of Pi
2013,WRITING (Adapted Screenplay),Screenplay by Chris Terrio,Argo
2013,WRITING (Original Screenplay),Written by Quentin Tarantino,Django Unchained
2013,JEAN HERSHOLT HUMANITARIAN AWARD,Jeffrey Katzenberg,
2013,HONORARY AWARD, Hal Needham,
2013,HONORARY AWARD, D.A. Pennebaker,
2013,HONORARY AWARD, George Stevens,
2014,ANIMATED FEATURE FILM,"Chris Buck, Jennifer Lee and Peter Del Vecho",Frozen
2014,CINEMATOGRAPHY,Emmanuel Lubezki,Gravity
2014,COSTUME DESIGN,Catherine Martin,The Great Gatsby
2014,DIRECTING,Alfonso Cuarón,Gravity
2014,DOCUMENTARY (Feature),"Morgan Neville, Gil Friesen and Caitrin Rogers",20 Feet from Stardom
2014,DOCUMENTARY (Short Subject),Malcolm Clarke and Nicholas Reed,The Lady in Number 6: Music Saved My Life
2014,FILM EDITING,Alfonso Cuarón and Mark Sanger,Gravity
2014,FOREIGN LANGUAGE FILM,Italy,The Great Beauty
2014,MAKEUP AND HAIRSTYLING,Adruitha Lee and Robin Mathews,Dallas Buyers Club
2014,MUSIC (Original Score),Steven Price,Gravity
2014,MUSIC (Original Song),Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,Frozen
2014,BEST PICTURE,Steve McQueen,12 Years a Slave
2014,PRODUCTION DESIGN,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,The Great Gatsby
2014,SHORT FILM (Animated),Laurent Witz and Alexandre Espigares,Mr. Hublot
2014,SHORT FILM (Live Action),Anders Walter and Kim Magnusson,Helium
2014,SOUND EDITING,Glenn Freemantle,Gravity
2014,SOUND MIXING,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",Gravity
2014,VISUAL EFFECTS,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",Gravity
2014,WRITING (Adapted Screenplay),Screenplay by John Ridley,12 Years a Slave
2014,WRITING (Original Screenplay),Written by Spike Jonze,Her
2014,JEAN HERSHOLT HUMANITARIAN AWARD,Angelina Jolie,
2014,HONORARY AWARD, Angela Lansbury,
2014,HONORARY AWARD, Steve Martin in recognition of his extraordinary talents and the unique inspiration he has brought to the art of motion pictures.,
2014,HONORARY AWARD, Piero si,
2015,ANIMATED FEATURE FILM,"Don Hall, Chris Williams and Roy Conli",Big Hero 6
2015,CINEMATOGRAPHY,Emmanuel Lubezki,Birdman or (The Unexpected Virtue of Ignorance)
2015,COSTUME DESIGN,Milena Canonero,The Grand Budapest Hotel
2015,DIRECTING,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance)
2015,DOCUMENTARY (Feature),"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",CitizenFour
2015,DOCUMENTARY (Short Subject),Ellen Goosenberg Kent and Dana Perry,Crisis Hotline: Veterans Press 1
2015,FILM EDITING,Tom Cross,Whiplash
2015,FOREIGN LANGUAGE FILM,Poland,Ida
2015,MAKEUP AND HAIRSTYLING,Frances Hannon and Mark Coulier,The Grand Budapest Hotel
2015,MUSIC (Original Score),Alexandre Desplat,The Grand Budapest Hotel
2015,MUSIC (Original Song),Music and Lyric by John Stephens and Lonnie Lynn,Selma
2015,BEST PICTURE,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Birdman or (The Unexpected Virtue of Ignorance)
2015,PRODUCTION DESIGN,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock,The Grand Budapest Hotel
2015,SHORT FILM (Animated),Patrick Osborne and Kristina Reed,Feast
2015,SHORT FILM (Live Action),Mat Kirkby and James Lucas,The Phone Call
2015,SOUND EDITING,Alan Robert Murray and Bub Asman,American Sniper
2015,SOUND MIXING,"Craig Mann, Ben Wilkins and Thomas Curley",Whiplash
2015,VISUAL EFFECTS,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher",Interstellar
2015,WRITING (Adapted Screenplay),Written by Graham Moore,The Imitation Game
2015,WRITING (Original Screenplay),"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo",Birdman or (The Unexpected Virtue of Ignorance)
2015,JEAN HERSHOLT HUMANITARIAN AWARD,Harry Belafonte,
2015,HONORARY AWARD, Jean-Claude Carrière,
2015,HONORARY AWARD, Hayao Miyazaki,
2015,HONORARY AWARD, Maureen O'Hara,
2016,ANIMATED FEATURE FILM,Pete Docter and Jonas Rivera,Inside Out
2016,CINEMATOGRAPHY,Emmanuel Lubezki,The Revenant
2016,COSTUME DESIGN,Jenny Beavan,Mad Max: Fury Road
2016,DIRECTING,Alejandro G. Iñárritu,The Revenant
2016,DOCUMENTARY (Feature),Asif Kapadia and James Gay-Rees,Amy
2016,DOCUMENTARY (Short Subject),Sharmeen Obaid-Chinoy,A Girl in the River: The Price of Forgiveness
2016,FILM EDITING,Margaret Sixel,Mad Max: Fury Road
2016,FOREIGN LANGUAGE FILM,Hungary,Son of Saul
2016,MAKEUP AND HAIRSTYLING,"Lesley Vanderwalt, Elka Wardega and Damian Martin",Mad Max: Fury Road
2016,MUSIC (Original Score),Ennio Morricone,The Hateful Eight
2016,MUSIC (Original Song),Music and Lyric by Jimmy Napes and Sam Smith,Spectre
2016,BEST PICTURE,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Spotlight
2016,PRODUCTION DESIGN,Production Design: Colin Gibson; Set Decoration: Lisa Thompson,Mad Max: Fury Road
2016,SHORT FILM (Animated),Gabriel Osorio and Pato Escala,Bear Story
2016,SHORT FILM (Live Action),Benjamin Cleary and Serena Armitage,Stutterer
2016,SOUND EDITING,Mark Mangini and David White,Mad Max: Fury Road
2016,SOUND MIXING,"Chris Jenkins, Gregg Rudloff and Ben Osmo",Mad Max: Fury Road
2016,VISUAL EFFECTS,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett",Ex Machina
2016,WRITING (Adapted Screenplay),Screenplay by Charles Randolph and Adam McKay,The Big Short
2016,WRITING (Original Screenplay),Written by Josh Singer & Tom McCarthy,Spotlight
2016,JEAN HERSHOLT HUMANITARIAN AWARD,Debbie Reynolds,
2016,HONORARY AWARD,Spike Lee,
2016,HONORARY AWARD, Gena Rowlands,
2017,ANIMATED FEATURE FILM,"Byron Howard, Rich Moore and Clark Spencer",Zootopia
2017,CINEMATOGRAPHY,Linus Sandgren,La La Land
2017,COSTUME DESIGN,Colleen Atwood,Fantastic Beasts and Where to Find Them
2017,DIRECTING,Damien Chazelle,La La Land
2017,DOCUMENTARY (Feature),Ezra Edelman and Caroline Waterlow,O.J.: Made in America
2017,DOCUMENTARY (Short Subject),Orlando von Einsiedel and Joanna Natasegara,The White Helmets
2017,FILM EDITING,John Gilbert,Hacksaw Ridge
2017,FOREIGN LANGUAGE FILM,Iran,The Salesman
2017,MAKEUP AND HAIRSTYLING,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson",Suicide Squad
2017,MUSIC (Original Score),Justin Hurwitz,La La Land
2017,MUSIC (Original Song),Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul,La La Land
2017,BEST PICTURE,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Moonlight
2017,PRODUCTION DESIGN,Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco,La La Land
2017,SHORT FILM (Animated),Alan Barillaro and Marc Sondheimer,Piper
2017,SHORT FILM (Live Action),Kristof Deák and Anna Udvardy,Sing
2017,SOUND EDITING,Sylvain Bellemare,Arrival
2017,SOUND MIXING,"Kevin O'Connell, Andy Wright, Robert Mackenzie and Peter Grace",Hacksaw Ridge
2017,VISUAL EFFECTS,"Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon",The Jungle Book
2017,WRITING (Adapted Screenplay),Barry Jenkins,Moonlight
2017,WRITING (Original Screenplay),Written by Kenneth Lonergan,Manchester by the Sea
2017,HONORARY AWARD, Jackie Chan,
2017,HONORARY AWARD, Anne V. Coates,
2017,HONORARY AWARD, Lynn Stalmaster,
2017,HONORARY AWARD, Frederick Wiseman,
2018,ANIMATED FEATURE FILM,Lee Unkrich and Darla K. Anderson,Coco
2018,CINEMATOGRAPHY,Roger A. Deakins,Blade Runner 2049
2018,COSTUME DESIGN,Mark Bridges,Phantom Thread
2018,DIRECTING,Guillermo del Toro,The Shape of Water
2018,DOCUMENTARY (Feature),Bryan Fogel and Dan Cogan,Icarus
2018,DOCUMENTARY (Short Subject),Frank Stiefel,Heaven Is a Traffic Jam on the 405
2018,FILM EDITING,Lee Smith,Dunkirk
2018,FOREIGN LANGUAGE FILM,Chile,A Fantastic Woman
2018,MAKEUP AND HAIRSTYLING,"Kazuhiro Tsuji, David Malinowski and Lucy Sibbick",Darkest Hour
2018,MUSIC (Original Score),Alexandre Desplat,The Shape of Water
2018,MUSIC (Original Song),Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,Coco
2018,BEST PICTURE,"Guillermo del Toro and J. Miles Dale, Producers",The Shape of Water
2018,PRODUCTION DESIGN,Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeffrey A. Melvin,The Shape of Water
2018,SHORT FILM (Animated),Glen Keane and Kobe Bryant,Dear Basketball
2018,SHORT FILM (Live Action),Chris Overton and Rachel Shenton,The Silent Child
2018,SOUND EDITING,Richard King and Alex Gibson,Dunkirk
2018,SOUND MIXING,"Gregg Landaker, Gary A. Rizzo and Mark Weingarten",Dunkirk
2018,VISUAL EFFECTS,"John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover",Blade Runner 2049
2018,WRITING (Adapted Screenplay),Screenplay by James Ivory,Call Me by Your Name
2018,WRITING (Original Screenplay),Jordan Peele,Get Out
2018,SPECIAL AWARD, Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation,
2018,HONORARY AWARD, Charles Burnett,
2018,HONORARY AWARD, Owen Roizman,
2018,HONORARY AWARD, Donald Sutherland for a lifetime of indelible characters,
2018,HONORARY AWARD, Agnès Varda,
2019,ANIMATED FEATURE FILM,Peter Ramsey,Spider-Man: Into the Spider-Verse
2019,CINEMATOGRAPHY,Alfonso Cuarón,Roma
2019,COSTUME DESIGN,Ruth Carter,Black Panther
2019,DIRECTING,Alfonso Cuarón,Roma
2019,DOCUMENTARY (Feature),"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",Free Solo
2019,DOCUMENTARY (Short Subject),Rayka Zehtabchi and Melissa Berton,Period. End of Sentence.
2019,FILM EDITING,John Ottman,Bohemian Rhapsody
2019,FOREIGN LANGUAGE FILM,Mexico,Roma
2019,MAKEUP AND HAIRSTYLING,"Greg Cannom, Kate Biscoe and Patricia Dehaney",Vice
2019,MUSIC (Original Score),Ludwig Goransson,Black Panther
2019,MUSIC (Original Song),"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",A Star Is Born
2019,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book
2019,PRODUCTION DESIGN,Production Design: Hannah Beachler; Set Decoration: Jay Hart,Black Panther
2019,SHORT FILM (Animated),Domee Shi and Becky Neiman-Cobb,Bao
2019,SHORT FILM (Live Action),Guy Nattiv and Jaime Ray Newman,Skin
2019,SOUND EDITING,John Warhurst and Nina Hartstone,Bohemian Rhapsody
2019,SOUND MIXING,"Paul Massey, Tim Cavagin and John Casali",Bohemian Rhapsody
2019,VISUAL EFFECTS,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",First Man
2019,WRITING (Adapted Screenplay),Spike Lee,BlacKkKlansman
2019,WRITING (Original Screenplay),"Written by Nick Vallelonga, Brian Currie, Peter Farrelly",Green Book
2019,HONORARY AWARD, Marvin Levy,
2019,HONORARY AWARD, Lalo Schifrin,
2019,HONORARY AWARD, Cicely Tyson,
2019,IRVING G. THALBERG MEMORIAL AWARD,Kathleen Kennedy and Frank Marshall,
2020,ANIMATED FEATURE FILM,"Josh Cooley, Mark Nielsen and Jonas Rivera",Toy Story 4
2020,CINEMATOGRAPHY,Roger Deakins,1917
2020,COSTUME DESIGN,Jacqueline Durran,Little Women
2020,DIRECTING,Bong Joon Ho,Parasite
2020,DOCUMENTARY (Feature),"Steven Bognar, Julia Reichert and Jeff Reichert",American Factory
2020,DOCUMENTARY (Short Subject),Carol Dysinger and Elena Andreicheva,Learning to Skateboard in a Warzone (If You're a Girl)
2020,FILM EDITING,Michael McCusker and Andrew Buckland,Ford v Ferrari
2020,INTERNATIONAL FEATURE FILM,South Korea,Parasite
2020,MAKEUP AND HAIRSTYLING,"Kazu Hiro, Anne Morgan and Vivian Baker",Bombshell
2020,MUSIC (Original Score),Hildur Guðnadóttir,Joker
2020,MUSIC (Original Song),Music by Elton John; Lyric by Bernie Taupin,Rocketman
2020,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite
2020,PRODUCTION DESIGN,Production Design: Barbara Ling; Set Decoration: Nancy Haigh,Once upon a Time...in Hollywood
2020,SHORT FILM (Animated),Matthew A. Cherry and Karen Rupert Toliver,Hair Love
2020,SHORT FILM (Live Action),Marshall Curry,The Neighbors' Window
2020,SOUND EDITING,Donald Sylvester,Ford v Ferrari
2020,SOUND MIXING,Mark Taylor and Stuart Wilson,1917
2020,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",1917
2020,WRITING (Adapted Screenplay),Screenplay by Taika Waititi,Jojo Rabbit
2020,WRITING (Original Screenplay),"Screenplay by Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho",Parasite
2020,JEAN HERSHOLT HUMANITARIAN AWARD,Geena Davis,
2020,HONORARY AWARD, David Lynch,
2020,HONORARY AWARD, Wes Studi,
2020,HONORARY AWARD, Lina Wertmuller,
